career_label,skills
radiographer,
account clerk,
"senior specialist, ip and security planning","excel, communication, aws, azure"
sales consultant (interior design & build),"excel, communication, management"
trade marketing manager,"excel, communication, management, project management"
recruitment consultant (basic + commission) - hybrid arrangement,
sales executive (with basic + commission),excel
"supervisor, manufacturing","excel, communication, management, project management"
property executive,"communication, management"
business development executive - food service business (kota bharu branch),"excel, communication, management"
senior network engineer,"excel, communication"
laboratory assistant (based in kuching sarawak),
site supervisor,management
brand manager,"excel, communication, management"
executive transshipment department (t/s singapore),
"head, finance & accounts (based in bintulu, sarawak)","excel, communication, management"
cleaner (based in kuching sarawak),
in-house lawyer,"management, aws"
"maths, science and english teachers",
internship / audit assistance,
sales executive,
admin executive,"excel, communication, management"
sales executive,"excel, communication, management"
"manager, governance & compliance","communication, management, aws"
customer service representative,"excel, communication"
senior executive – business development (china car accounts),"excel, communication, management"
plc programmer,"python, excel, machine learning"
"assistant manager, sales",
technician,management
sales executive,"excel, communication"
admin executive,"excel, communication, management"
e-commerce executive,communication
accounts executive,"excel, communication, management"
audit professional (johor bahru office),data analysis
account and hr administrator,"communication, management"
hr executive (on contract),"excel, communication, management"
mechanical project engineer,"excel, management, project management"
aircond technician (hotel),
account assistant,"excel, communication"
prime mover driver (based in bintulu),
construction coordinator,"communication, management"
"officer/executive, gl (guarantee letter)","excel, communication, management"
sales & marketing executive,"excel, management"
"auto electrician (based in bintulu, sarawak)",
customer service representative,"communication, management"
welder,
dental nurse assistant,communication
foreman / senior mechanic / mechanic,
finance & administrative assistant,
agronomist / senior agronomist (based at tinbarap estate),"communication, management"
senior buyer (fpso – oil & gas industry),"excel, communication, management"
accounts assistant (downstream),management
"internship - information, communication & technology (ict/it)","excel, communication, management"
facility engineer,
state registered nurse (icu / hdu),
it executive (based in bintulu sarawak),communication
barista - kl pavilion (full time only),communication
order processing,communication
"executive, business development",communication
junior digital marketing executive,"excel, communication"
accounts executive / assistant (based in hq miri),"communication, management"
metrology/ lab/ quality technician,
technician (hotel),
electrical engineer,"excel, data analysis, management"
procurement executive,"excel, communication"
senior engineer - gis,"python, java, sql"
account executive,"excel, communication"
production assembly operator,management
"executive / junior executive, compliance, operations & methods","excel, communication"
procurement manager,"excel, communication, management"
purchasing and logistics coordinator (kl/jb),"excel, communication, management"
graphic designer / full time,
personal assistant to managing director,"excel, communication, management"
officer - administrative,management
interior designer,"communication, management"
social media content specialist,communication
senior logistics executive (with purchasing responsibilities),"excel, communication, management"
industrial solutions specialist,"communication, management, project management"
audit assistants,
maintenance technician,
site engineer (base in indonesia),"excel, communication, management"
accounts and admin executive,"excel, communication, management"
retail assistant (male),
internship (marketing),communication
project executive,
mandarin digital marketing sale specialist,
"senior executive, it & digital development","sql, excel, communication"
asp.net software developer,"java, sql, excel, communication"
sales consultant - interior design solutions,"communication, management, project management"
administrative assistant,"excel, communication, management"
engineering machinist,"excel, communication"
"hotel, food & beverages department",excel
clinic assistant,"communication, management"
"manager, debt recovery & remedial management","excel, communication, management"
assistant general manager f&b,"excel, management"
admin junior executive,"excel, communication, management"
sales executive,"excel, communication"
marketing - assistant manager,"excel, communication, management"
senior account executive,"excel, management"
sales executive,"excel, communication"
sales interior designer,"excel, communication, management"
sales designer,"excel, communication"
sales designer,"excel, communication"
project engineer,"excel, communication, management, project management"
marketing manager,"communication, management"
key account manager-electronics (5),"excel, communication"
car park attendant,management
electrical technician,excel
live host,"excel, communication"
admin,
"junior engineer , smart iot lighting","python, excel, management, project management, azure"
"assoc specialist, materials planning",management
finance assistant manager,"sql, excel, communication, management"
field audit manager,management
technician engineering,management
accounts and admin assistant,"communication, management"
finance manager,"excel, management"
junior wastewater treatment engineer,data analysis
head of security,"excel, management"
senior sales engineer,communication
qa officer,"communication, management"
senior human resource generalist,management
python selenium developer,"python, java, excel, communication"
dentist,
quarry manager,"communication, management"
moulding process engineer,
account assistant,
salesperson (modern trade experience),"excel, communication, management"
group chief admin,"excel, data analysis, communication, management"
purchasing executive,"excel, communication, management"
partner service executive | mandarin speaker,
l3 azure cloud engineer,azure
quality assurance (halal executive),"excel, data analysis, communication, management"
assistant finance manager,"sql, excel, communication, management"
chargeman,
taning tea barista / 挞柠饮品吧台员,
"localization coordinator, subtitling","excel, communication"
warehouse assistant,management
senior personal care formulation manager,"excel, communication"
production planner (glove industry),excel
assistant operations admin - express,"excel, communication, management"
medical affairs executive (junior/ senior),management
intern (human resources - hr),"excel, communication, management"
head of accounts & finance,"excel, data analysis, communication, management, project management"
account cum admin assistant,"excel, communication, management"
project manager cum senior site supervisor,"communication, management, project management"
hr admin assistant,"excel, communication, management"
xiaomi brand ambassador (retail),"excel, communication, management"
manager – client acquisition & engagement (penang),"excel, communication, management, project management"
sales manager,management
project manager (ai chat),"excel, communication, management, project management"
associate consultant/recruitment consultant,management
i&r/r&d executive (specializing in flavors),
"senior executive, leap management","excel, data analysis, communication, management, aws"
"sales executive (southern - muar , batu pahat & melaka)",
accounting cum admin assistant (spm/ stpm - entry level),"excel, management, aws"
application engineer - (johor),
"priority banking, relationship manager (nationwide)","excel, communication"
corporate driver,management
assistant contract manager,management
maintenance general worker,management
shipping manager,management
key account & partnership executive,"excel, communication, management"
senior cloud infrastructure engineer,"excel, communication, aws, azure"
"technical assistant, asset","excel, management"
accounting and admin executive,"excel, communication, management"
junior procurement executive,
senior design engineer,
accounts executive,sql
purchasing / production control / marketing executive,"sql, excel, data analysis, communication, management"
devops engineer,"management, azure, docker"
"senior manager, merchandising (beauty)",
account cum admin executive （mandarin speaker）,"sql, excel, communication"
group executive chef,
sales admin executive,management
production supervisor (accommodation provided),"communication, management"
multimedia and graphic designer,excel
assistant manager - sustainability,"excel, communication, management, project management"
it technician,
juruteknik audio visual (av),
early childhood educator,"excel, communication"
technician,
"executive, fp&a",
customer service executive 客服专员,"excel, communication"
mandarin interpreters - (work from home- immediate joiners),"excel, communication"
account & internal audit executives,"excel, communication, management"
guest service assistant,"communication, management"
senior manager - marketing (beauty),"excel, communication"
lab assistant,"communication, management"
sales asst manager / executive,"communication, management"
assistant finance manager/finance manager,
general purchasing officer,management
assembly & test leadman,excel
"senior executive, strategic finance",
investment administrator (id: 687068),"excel, communication, management"
junior recruiter,"excel, communication, management"
senior network engineer (data center | 5 days work),"excel, communication, management, aws"
driver foodtruck,
admin executive,"excel, communication"
partner enablement specialist (solar pv),"excel, communication, management, project management"
dispatcher,
admin clerk,"excel, communication, management"
facilities engineer,"excel, communication, management"
"it senior engineer (manufacturing, apc, sql/oracle, linux)","java, sql"
senior / assistant finance manager,management
direct store manager,"excel, management"
cost estimator,
"executive, sales area for negeri sembilan & melaka","excel, communication"
finance manager,management
hr executive,"excel, communication, management"
r&d electrical engineer,"excel, communication, management"
murex mxml developer,
internship tax account audit,"sql, excel"
cmf modeler,"python, java, sql, excel, communication, management"
finance support (batu kawan),"excel, management"
eoi: handyman (johor bahru),"excel, management"
"assistant manager, finance & accounting","excel, communication, management"
hr generalist (am - head of hr),"excel, communication, management, aws"
backend developer (golang),"sql, communication, management, aws"
back end developer,"java, sql"
outbound sales,management
backend php developer (laravel),"java, sql, management"
it business analyst,"excel, communication, management"
autostrip/autolayer technician,
preferred relationship manager (batu pahat),"excel, management"
compounding operator,
it business data analyst,"python, sql, excel, statistics, communication, management"
sales executive,"excel, management"
waste water treatment plant technician,
devops engineer – cloud & infrastructure,"python, communication, management, aws"
boilerman grade 2,
pcba qe engineer,"data analysis, communication"
personal assistant to gcfo,"excel, communication, management"
branch manager,management
product engineer,"data analysis, communication"
sales advisor (up to rm3500 + incentives) - based at penang #als1#,"excel, communication, management"
sales executive,communication
customer service executive – immediate hiring!,communication
radiographer,
security guard,
content creator / designer internship,communication
database engineer / dba – tech coe,"sql, excel, communication, management, azure"
merchandising executive (malaysia area),"excel, communication, management"
senior school teacher of biology,
aesthetic doctor,
business analyst,
primary classroom teacher,excel
social media & crm specialist,"communication, management"
business development manager,communication
"constable, auxiliary police (kuala lumpur & johor bahru)","communication, management"
product manager,"communication, management, project management"
data analysts (excel reporting) - immediate hiring!,"excel, data analysis, management"
admin & hr manager,"excel, communication, aws"
assembly qe engineer,data analysis
hr executive,"excel, communication, management, aws"
bim modeller,
walk-in interview - financial services consultant (6 november 2025),excel
assistant accountant,"excel, communication"
store worker,
sales representative / e-commerce coordinator (2 vacancies - immediate hiring),communication
sales executive (outdoor sales/銷售代表),
assistant manager (finance),"excel, communication"
executive assistant to md - sales management,"excel, communication, management"
sales executive,"excel, communication, management"
retail assistant,"excel, communication"
finance & accounts manager (lcci) - penang,"excel, management"
full time /part time teacher,
"executive/senior executive, marketing (based at kuantan)",communication
senior accounts executive,"excel, communication"
hr generalist / executive (luxury cosmetics distribution),"excel, communication, management, aws"
frontline teller (kapar),"excel, management"
frontline teller (kampung baru subang),"excel, management"
depot manager,"excel, management"
frontline teller (port klang),"excel, management"
marketing manager,
frontline teller (usj),"excel, management"
frontline teller (chow kit),"excel, management"
it cum hr admin executive,management
veterinarian assistant / front desk,
expression of interest: senior security automation engineer,"python, excel, communication, management, azure"
pr manager/assistant manager,"excel, communication, management"
senior design for excellence (dfx) engineer,
store handler,
resident doctor,"excel, communication, management"
associate/senior associate - fund reconciliation,"python, sql, excel, management"
procurement executive - indirect,"excel, communication"
up rm3100/month 10x telemarketing executive | 3 months contract,communication
pastry/cake baker,excel
process engineer,"excel, communication"
sales executive,communication
site safety supervisor,
channel sales executive (indoor sales),communication
retail cake shop assistant,excel
rm21/hour !! part-time store retail assistant (1-month contract) | sky avenue,
channel sales executive (indoor sales),communication
senior materials planning analyst,"excel, communication, management"
interior sales designer- puchong,
admin & teacher assistant,communication
digital marketing,"excel, communication, management"
"warehouse executive (based in jb, fresh grads welcomed!)","excel, management"
customer service,"excel, management"
accounts cum admin- puchong utama,"excel, communication, management"
accounting manager,sql
principal product quality staff engineer,"data analysis, communication, management"
senior lead engineer - mechanical design (storage/ server/ network),"communication, management"
personal driver,
"global hr quality, risk & knowledge lead",management
hr process expert (talent acquisition & l&d),"excel, data analysis, communication, management"
sales coordinator,"communication, management"
senior electrical engineer,"excel, communication"
laboratory technician (papar),"communication, management"
social media content manager,communication
regional energy & facilities manager,"excel, management, project management"
hr operations executive,"sql, management"
laboratory supervisor,"communication, management"
account receivable - assistant (putatan),
it product owner-learning & development,excel
graphic designer,"communication, management"
senior sales executive - automotive & manufacturing,"excel, communication, management"
social media content creator,excel
calibration officer,excel
"head, wealth solutions - asset transfer",management
product specialist,"excel, communication, management"
manager hr business partnering,"excel, management"
video editor / videographer,
"supervisor, manufacturing engineering","excel, communication"
sales executive,excel
project coordinator/engineer,"excel, communication"
"regional head of engineering, ops & cx","excel, communication, management"
"senior software engineer, backend","python, java, aws, docker"
intern - website marketing,"excel, communication, management"
account/human resources executive,"sql, excel, management"
"principal engineer - hypervisors, backup & unix systems","python, communication, management, aws"
accountant,"sql, excel, communication, management"
production supervisor,"excel, communication, management"
sr product compliance engineer,"communication, management, aws"
videographer cum editor,management
production supervisor (mandarin speaker),"excel, communication"
livestream host,"excel, communication"
graphic designer,"excel, communication"
associate dentist,communication
senior manager (production & process),
sales executive (sports equipment),excel
warehouse assistant/ warehouse clerk,
account executive,"sql, excel, communication"
"senior sales manager, industrial refrigeration apr","excel, communication, management"
account admin,"sql, excel, management"
lead manufacturing test engineer,"management, project management"
pharmacist assistant,"excel, communication"
content creator cum editor (sports),
marketing executive,"excel, communication"
dietitian / nutritionist,"excel, communication, management"
brand marketing executive,excel
devops engineer,"python, java, sql, communication, aws, azure, docker"
head of university and careers guidance,
prep school boarding housemistress (junior girls),
coding & programming online tutor,"python, java, excel, communication"
"head of credit risk unit, risk management department","excel, communication, management"
mechanical engineer - hvac and public health (ph),"excel, management, project management"
ui/ux designer,"java, excel, communication"
sales & marketing assistant manager,excel
"health systems sales leader and country manager, malaysia","excel, communication"
people leader partner,management
internship - community,"excel, communication"
"sales executive (project sales), johor","communication, management"
"sales executive (hardware & retail shops), kl","excel, communication, management"
"sales executive (repainting & renovation), kl","excel, communication, management"
director of front office (pre-opening) - waldorf astoria,"excel, communication, management"
executive,management
science teacher (secondary),
demi chef de partie,"excel, communication"
"senior database administrator - sql server, postgresql","sql, management, aws"
product manager - growth and ai,"excel, communication, management"
hr officer (recruitments),"excel, communication, management"
cashier,"excel, communication"
audit internship,excel
telemarketing executive (appointment setting),"excel, communication, management"
graduate mechanical design engineer,
sr. sales executive (lead),
sales manager,
"internship - research, planning and product executive",excel
senior software engineer (full stack developer: python + javascript),"python, java, sql, communication, management"
qa/qc manager - data center,management
senior associate - hro (finance business support),communication
business development executive (jewellery),"excel, management"
prudential bsn takaful (rm3k - 10k monthly),management
eoi: assistant facilities manager (cyberjaya/sepang),"excel, communication, management"
safety and loss prevention principal engineer,
contract executive,"data analysis, management"
driver,management
admin clerk,excel
technician,
sales manager (working location : papua new guinea or vanuatu),"excel, communication, management"
personal assistant,"excel, management"
assistant general manager (working location:papua new guinea or vanuatu),"excel, communication, management"
office / admin executive (working location: papua new guinea),"excel, communication, management"
senior project/tender quantity surveyor (m&e),excel
qaqc engineer,"excel, communication"
construction supervisor,management
resident engineer (keningau & papar),communication
"cashier cum sales (pine square, batu kawa)",
manufacturing specialist (operator kilang),
sales coordinator,
inspector of work (civil & structure)-keningau & papar,communication
graphic designer,
site supervisor (contract 1-2years. building of a new small-medium size factory),"management, project management"
senior executive business development and operations ( immediate hiring),"communication, management, project management"
part time / intern-graphic designer,communication
csa engineer,"excel, communication, management"
management trainee,"communication, management"
gl accountant,management
overseas system & application engineer,
qa engineer,
business development manager,"communication, management"
resident medical officer,communication
internship / intern (qc/marketing),"excel, communication, management"
group chief mechanic,"communication, management"
agronomist,management
senior executive - motor claims,management
warehouse assistant – selangor,
graphic designer,"excel, communication"
restaurant supervisor/service crew (chinese speaking),"excel, communication, management"
mechanic,
warehouse assistant,"communication, management"
account clerk/ clerk,"sql, excel"
sales & marketing specialist_healthcare,"excel, communication"
land surveyor,management
junior document controller,
signage graphic designer,
sales executive cum marketing,"excel, communication, management, project management"
medical device sales representative,communication
internship/latihan industri,
accounts officer,
finance executive / senior executive,"communication, aws"
treasury executive,"excel, management"
administrator (purchasing),
senior automation engineer,
senior halal cum qaqc executive,management
e-commerce executive,"communication, management"
sales representative (klang valley),excel
account executive,management
sales executives ( northern ),
graphic designer,
senior accounts payable executive (sea shared service),communication
sales admin executive,"excel, communication, management"
accounts executive (ar),
digital advertising sales (manager / sales executive),"excel, communication, management"
accounts executive,"sql, excel"
product specialist,"communication, management, project management"
factory manager (sarawakian only),"excel, data analysis, communication, management"
marketing executive,"communication, management, project management"
barista,"excel, management"
"software engineer (c#, .net)","java, sql, azure"
smt equipment engineer,management
krew dapur,
warehouse officer,
head chef (banquet division),"excel, communication, management"
accounts assistant,
"vice president, variable price strategy","excel, management"
electrical programmer,communication
demi chef,"excel, communication"
"senior engineer, technology development",
logistics cum sales executive,"excel, communication, management"
tuition teacher,
electrical engineer,communication
admin,"communication, management"
application support engineer,communication
"accounting associate, revenue & cost _myassc",management
human resources assistant manager,"excel, communication, management, aws"
front office,
safety & health officer,"excel, communication, management"
senior finance manager,"excel, communication, aws"
senior m&e engineer,"communication, management"
draft technician | onsite | malaysia | day shift,
project engineer,"excel, communication"
assistant chief admin,"communication, management"
production engineer,
senior accounts executive (ap),excel
marketing executive,"excel, communication, management"
warehouse executive,management
procurement and planning manager,"communication, management"
sales marketing executive,"excel, communication"
human resource assistant,"excel, communication, management, aws"
retail executive,"management, aws"
manager/assistant manager marketing and communications,
sales executive,
junior electrical engineer,"excel, management"
ehs engineer,"communication, management, project management, aws"
associate - insurance policy data operation & administration (mandarin speaking),
eksekutif jualan & pemasaran,
sales engineer,excel
tobacco support - taiwanese (based in penang),"excel, communication"
workshop clerk,
internship - project management,"excel, communication, management, project management"
store hand,
system analyst,sql
kindergarten teacher,
bellman,
picker (mont kiara),
lorry driver,"excel, management"
technician - (electrical / mechanical),
accounts manager,"excel, communication, management, aws"
land & development supervisor,"communication, management"
network support analyst-2,"excel, communication, management"
procurement executive,"excel, communication, management"
"senior manager, product specialist export","communication, management"
front office agent,
call centre supervisor,
accountant,"excel, communication"
assistant manager,"communication, management"
event management / customer service intern (few positions),"excel, communication, management"
regional head of talent acquisition,"excel, management"
regional hr business partner,"communication, management, aws"
accounts receivable,
admissions & student services executive,"excel, management"
sales admin executive (kl based),"excel, communication, management"
infra supervisor,management
event coordinator,
venue supervisor,
"senior executive, partnership","excel, communication, management"
application developer,"java, sql, communication"
commis ii,
admin executive,"communication, management"
primary teacher,management
senior e-commerce executive (tiktok),"excel, communication"
marketing senior executive,management
site supervisor,
senior finance executive,"sql, excel, communication, management"
project accountant,"excel, communication, management"
building supervisor,management
"agency development, executive / assistant manager (based at klang)","communication, management"
general worker (based in quarry),
mechanical engineer (associate),"excel, communication, management, project management"
sales & marketing executive,communication
account executive,"excel, communication, management"
cfom assistant manager – controllership (g34),"communication, management"
"assistant executive, finance",management
admin executive,management
senior full stack developer,"java, sql, communication, aws, azure, docker"
welder,management
eksekutif jualan & pemasaran,
reservation supervisor,
customer service & sales (trilingual speaker - man&can&eng),"excel, management"
full stack developer,"python, java, aws"
"manager - health, safety & environment","management, aws"
waiter/waitress,excel
"manager, warehouse",management
team lead (call center / telco fibre sales),"excel, communication, management"
senior finance executive,"excel, data analysis, communication, management"
assistant storekeeper,
"senior manager, supply chain operations my & sg","communication, management"
sales representative,excel
senior automation tester,java
accounts executive,"communication, management"
practice development manager (sales),
sales specialist - proton e.mas ev (miri),communication
hr generalist,communication
sales executive,"excel, communication"
counsellor,"communication, management"
accounts assistant,
factory manager,"excel, data analysis, communication, management"
site supervisor,
security guard,
plant process technician - plant operations,
live host,communication
"lead analyst, hrit (workday system l2 support)",communication
preschool teacher & daycare tutor,communication
business development executive,"communication, management"
paramedic,"excel, management"
"assistant manager, sales","excel, communication"
solar sales manager,"excel, communication, management, project management"
marketing intern,"communication, management"
group human resource generalist,"excel, communication"
skincare advisor (sunway pyramid),"excel, communication"
senior interior designer,"excel, communication, management"
state registered nurse (all disciplines),
supply chain director,
internal audit assistant / officer,"excel, data analysis, management"
graduate trainee program - business & corporate banking (jan/feb 2026 intake),
medical audit executive,"excel, communication"
sales executive销售主管,communication
staff nurse,excel
admin account executive,"excel, management"
protege-civil engineer (kota kinabalu),
beauty expert (makeup & brow servicing),
bulldozer operator,
logistic customer service executive,"excel, communication"
senior preschool mandarin teacher,communication
protege-administration,"excel, communication, management"
programme coordinator,"data analysis, communication, management"
switchboard technician,communication
payroll executive,"excel, communication, management, aws"
corporate secretarial division – senior associate,communication
quantity surveyor (qs),"excel, management"
quantity surveyor,"excel, management"
mechanical engineer,"excel, communication"
technical sales executive,
weighbridge operator,
hr executive (foreign worker management),"excel, communication, management, aws"
"electrical site supervisor at tnb langkawi project, padang matsirat",
"senior manager, engineering","excel, communication"
international business assistant,
admin assistant,excel
inventory controller - forklift,"excel, management"
"junior executive, corporate secretarial",
dump truck operator,
social media marketing,communication
electrical site supervisor based at bandong selangor,
"electrical site supervisor at bandar rimbayu, telok panglima garang, selangor",
pump operator,communication
supplier quality engineer (sqe),"statistics, management"
electrical site supervisor at rasa selangor,
graduate c & s engineer,excel
excavator operator,
senior it executive,"excel, communication"
junior officer - engineering (utility & facility),"excel, communication"
marketing manager,"excel, communication, management, project management"
cloud sales specialist,"excel, communication, aws, azure"
maintenance manager,
senior finance executive,"communication, management"
export executive,aws
lab technician,"excel, management"
physiotherapist,
senior technician - mechanic/painter,
bo 33kv chargeman,communication
qaqc assistant,"excel, communication, management"
kumon teaching assistant,
senior executive - warehouse rmpm,"communication, management"
front office receptionist,"excel, communication"
"technician (s-site, jelapang)",
sales & marketing executive,"excel, management"
group accounts manager,"communication, management"
specialist payroll,"excel, management, aws"
personal driver,aws
draughtsman,
assistant account manager,"sql, communication, management"
head of marketing,"excel, communication"
art director,"communication, management"
mixer truck driver (pemandu lori mixer),"excel, communication, aws"
qa software tester,
2d artist (mid - senior level),
digital marketing executive-mandarin speaker,"excel, communication, management, project management"
beauty advisor (luxury haircare) (id: 679994),management
principal brand senior manager,"excel, communication, management"
human resource,
iow (electrical),communication
admin cum company secretarial assistant,management
senior sales director,"excel, communication, management"
area sales manager,communication
host live cum content creator,
optometrist,"excel, communication"
global supply planner (video),"excel, communication, management"
recruitment consultant (180/360),"communication, management"
wiremen,"excel, communication"
"assistant manager,company secretarial","excel, management"
optometrist,"excel, communication"
equipment engineer/test engineer ( backend semiconductor),"excel, communication"
cnc machinist / technician,
executive chef (banquet division),"excel, management"
technician (production department),communication
technician (aircond/mechanical),communication
project executive,"excel, communication, management, project management"
mechanics,excel
chargeman a1,
service engineer (based in shah alam),
pembantu pentadbiran dan setiausaha syarikat,
fitter,"excel, communication"
"manager, finance (reporting)",management
assistant to group ceo cum business development,"communication, management"
technical drafter,communication
quantity surveyor,"excel, management"
sales representative (promoter),"excel, communication, management"
demand & supply planner,"excel, communication, management"
shift charge engineer,communication
scheduling analyst (entry level),"excel, communication"
assistant foreman,"communication, management"
batcher (shift),
senior engineer package definition,
executive - legal,communication
sales representative (promoter),"excel, communication, management"
accounts executive,"excel, communication, management"
project executive,"excel, communication, management, project management"
personal assistant to director,"excel, communication, management"
assistant store manager,management
c&s drafter / cad operator,
credit recovery officer,
"officer, accounts payable",excel
game monitoring qa (online games),
purchasing executive,"communication, management"
senior project engineer,
senior executive / executive - marketing,"communication, management"
account assistant,sql
store clerk,"excel, communication, management"
engineering manager / section manager (backend semiconductor ),"communication, management, project management"
product safety (specialist),"excel, communication"
digital marketer,
account assistance,excel
service network/operation manager,"excel, communication"
smt engineer,
business support associate- 12 month contract,"excel, communication, management"
sales support,"communication, management"
assistant operations manager/ operations manager,"excel, communication"
marketing assistant,
clerk of works- architecture,communication
"payments, risk and fraud specialist","excel, communication, management"
hr & admin executive,"communication, management, aws"
audit internship,
department head (fresh & grocery),"excel, management"
assistant finance manager,"excel, communication, management, aws"
resident engineer (mechanical & electrical works),"excel, communication, management"
sales executive,excel
event management coordinator,"communication, management"
excavator driver,
site supervisor,management
"technical assistant, r&d",
assistant engineer,"excel, communication"
technical customer service specialist (mandarin live chat),communication
personal driver,
engineers (production/engineering),
pos integration developer (offshore) -,"sql, excel, communication"
civil engineer,communication
project account manager,excel
product owner - learning management solutions,"excel, communication, management, project management"
account manager - penang,excel
chauffeur / driver,communication
assistant autocad / cad drafter ( furniture design development),
finance manager (education sector),"communication, management"
project manager,"management, project management"
payroll senior,"excel, communication"
digital marketing executive,communication
procurement assistant,"excel, aws"
legal & compliance officer,"communication, management, aws"
sales executive,"excel, communication, management"
chargeman a1,
"learning, development & employee engagement senior executive","excel, communication"
assembly technician,
senior account executive,"excel, management"
hr & admin assistant,"management, aws"
production technician (assembly i 6 months contract i up to rm4k) - p12,
technician,excel
radiographer,"excel, communication"
customer service senior associate,
halal executive cum qa,
purchasing officer,"excel, communication, management"
flutter developer - full time remote,"communication, management"
business analyst to ceo,"excel, communication, management"
service advisor,"excel, communication, management"
sales specialist,management
system support assistant (sap - dsd operation),"excel, communication"
retail associate (damansara),"excel, communication"
public relations intern,"communication, management"
software application support executive,"java, sql, excel, communication, management"
senior engineer - project,"excel, communication, management"
sales specialist,management
business development manager,"excel, communication, management"
e-commerce specialist,"excel, communication, management"
hr executive,"excel, communication, management, aws"
finance executive/assistant executive,"sql, excel"
chargeman a1,
field chemical technician,excel
locum pharmacist - watsons sabah,
account and tax manager,"excel, management, aws"
chargeman a1,
purchasing officer,"excel, communication, management"
"senior executive, finance (account payable)","excel, communication"
salesman,communication
chargeman a1,
pre-sales engineer,communication
assistant manager/manager - credit control,"communication, management"
chargeman a1,
technical engineer,"excel, communication, management"
sales executive,"excel, communication, management"
sales & marketing executive,
logistic officer,"excel, communication"
property management assistant,"communication, management"
assistant mill manager,"excel, communication, management"
hyfly operator (zipline),"communication, management"
project manger,"management, project management"
finance officer,excel
fashion advisor,communication
"teacher for business, economics, and enterprise","excel, communication, management"
sales admin,excel
accounts executive,"sql, excel"
digital platform specialist,"communication, management"
area sales manager (fmcg),communication
channel manager (sme) – kelantan,management
account manager - mid market (central),management
account manager - key corporate,management
account manager - mid market (melaka),management
marketing execution & planning (pahang),"excel, communication, management"
account manager - glc,"communication, management"
advance analytics specialist,"sql, excel, communication, management"
"mobile developer, executive",java
senior account executive (flexi hours / up to 6k / construction),
payment terminal developer,"java, excel, communication"
drafter engineer c & s,
"vice president, third-party risk management","communication, management"
".net developer, executive","python, java"
administration,management
fullstack (fully remotely(wfh)/ onsite),"excel, machine learning, communication, management, azure"
sales supervisor,excel
sales admin,communication
primary tuition teacher,
ui/ux designer,management
construction site supervisor - 5 positions,"excel, communication, management"
account manager - human nutrition,communication
pegawai pengaturcara perisian (programmer it),"python, java, sql"
sales & marketing executive,communication
sales engineer / sales manager,communication
accounts executive,
account,"excel, communication, management, aws"
site supervisor,"excel, communication"
cashier - the starling mall,
assistant quantity surveyor (urgent hiring),"excel, communication"
lab technician,
hr assistant（prefer mandarin-speaking）,"excel, communication, management, aws"
buyer/senior buyer,excel
buyer,"communication, management"
"senior executive - space, range and display (schematic plan/planogram)",management
"account manager, compressor",
customer service officer (insurance industry) - immediate joiner!,"excel, communication"
sf marketing cloud implementation and training specialist,"sql, communication"
sustainability executive,management
admin assistant (6 months contract),"excel, communication, management"
senior full stack software engineer,"python, aws"
finance & admin. assistant 会计与行政助理,"excel, management"
pembantu kedai,
account assistant (mandarin speaker),communication
outlet admin executive (fresh graduates are welcome),machine learning
teacher,
poultry farm supervisor / manager,"excel, data analysis, management"
retail associates,"communication, management"
executive - business channels (community deposit specialist),management
customer care officer- sme tech evolve,"excel, communication"
customer care officer- livebot,"excel, communication, management"
used car inspector,"communication, management"
full stack engineer ( mid / senior),"python, java, sql, excel, aws, azure"
rm13/hour !! | urgent hiring part time barista luxury café | 3 months contract,communication
operator pengeluaran,
junior help-desk engineer,"excel, communication"
sales executive,"excel, data analysis, communication, management"
site safety supervisor,"communication, management, project management"
senior business analyst cum junior project manager | hybrid | mandarin speaker,"excel, communication, management, project management"
senior civil engineer,"excel, communication, management, project management"
head of wellness,"excel, management"
sales coordinator,sql
"assistant manager, accounts","excel, communication, management"
"customer service representative | global mlm industry | bangsar south, kl","excel, communication"
project & design architect,
"senior executive, marketing","excel, communication, management, project management"
general manager - oakwood cameron highland,"excel, communication, management"
"senior analyst, client services",
warehouse operation admin,"excel, data analysis, statistics, management"
senior sales executive (outdoor),"excel, communication"
pemandu lori,
sales executive (mandarin speaker),excel
marketing assistant (male only),data analysis
"cashier/juruwang - aeon bukit indah, johor bahru",
junior graphic designer (fresh graduate opportunity),
inspector of work (iow),
management trainee (car park operations),"excel, communication, management"
full stack software engineer,"java, sql, excel, management, docker"
civil & structural draughtsperson/drafter,
senior accounts executive,"excel, management"
accounts assistant,communication
ecommerce operation support,
account officer,"management, project management"
site safety supervisor,
veterinary surgeon,"excel, communication"
mechanical & electrical supervisor (m&e),"excel, communication"
account and admin executive / assistant,"excel, communication"
senior account executive,"excel, management"
it system engineer,sql
senior it officer & it officer,management
senior project engineer,communication
full stack software engineer,java
it developer (executive/senior executive),java
business insights manager,"sql, excel, communication"
coordinator,"excel, communication, management"
planner(id:686641),
internship aeon big hq - marketing,"excel, communication, management"
live host,
sales operations manager,"excel, communication, management, project management"
warehouse keeper,"excel, communication, management"
sales and marketing manager,"excel, communication, management"
account executive,"excel, communication, management"
senior qa/qc/assistant manager qa/qc,"excel, data analysis, communication, management, project management"
"associate manager, retail account management (mt)","excel, management"
school principal,"excel, communication, management"
accounts assistant,
account & administration executive,excel
customer care executive / customer service,"excel, communication, management"
remote/ work from home - junior customer service,
