career_label,skills,experience_years,education_level
data analyst,"python, sql, excel, data analysis, management",5,degree
data engineer,"python, sql, machine learning, aws, tensorflow, pytorch",5,master
product manager,"sql, excel, data analysis, management",8,master
devops engineer,"python, java, aws, azure, docker",0,degree
business analyst,"sql, data analysis, communication",5,degree
it support specialist,"communication, management",5,degree
data architect,"python, java, sql, management, aws, azure",8,master
full stack developer,"java, sql, management",5,master
machine learning engineer,"python, machine learning, data analysis, tensorflow",5,degree
devops engineer,"python, aws, azure",0,degree
system administrator,"python, aws, azure",8,degree
data scientist,"python, sql, machine learning, deep learning, management, tensorflow, pytorch",5,master
e-commerce specialist,"java, excel, data analysis, management",5,degree
human resources specialist,management,5,degree
ar/vr developer,machine learning,5,degree
robotics engineer,"python, communication",5,unknown
ar/vr developer,java,5,degree
business analyst,"excel, data analysis, communication, management, project management",8,degree
ux designer,,5,degree
ux designer,"java, communication",5,degree
digital marketing specialist,management,5,degree
ai researcher,"python, deep learning, pytorch",0,unknown
game developer,"python, java, management",5,degree
cloud architect,"python, java, aws, azure, docker",8,degree
machine learning engineer,"python, machine learning, tensorflow, pytorch",5,master
blockchain developer,"python, java, management, docker",3,master
qa engineer,,5,master
devops engineer,"python, management, aws, docker",0,degree
database administrator,"python, java, sql, data analysis",0,degree
cybersecurity analyst,"python, aws, azure",8,degree
machine learning engineer,"python, sql, machine learning, deep learning, management, tensorflow, pytorch",5,master
data analyst,"python, sql, data analysis, management",3,degree
human resources specialist,"data analysis, management",8,degree
ux designer,java,5,degree
data analyst,"python, sql, excel, data analysis, management",5,degree
e-commerce specialist,"excel, data analysis, management",5,degree
it support specialist,"aws, azure",0,degree
ai researcher,"python, deep learning, tensorflow, pytorch",0,unknown
ux designer,,5,degree
cloud engineer,"python, aws, azure",0,degree
qa engineer,"python, java, excel, management",5,master
full stack developer,"java, sql, management",5,degree
database administrator,"python, sql, statistics, management",8,degree
full stack developer,"java, sql, docker",5,degree
content writer,"management, project management",5,degree
data analyst,"python, sql, excel, data analysis",5,degree
mobile app developer,"java, sql, management",5,master
human resources specialist,"excel, data analysis, communication, management",5,degree
ux designer,communication,5,degree
blockchain developer,"java, sql, management",0,degree
devops engineer,"python, sql, management, aws, azure, docker",0,degree
game developer,java,5,unknown
business analyst,"sql, excel, data analysis, communication",5,degree
blockchain developer,"java, management",0,degree
cloud engineer,"python, aws, azure, docker",5,degree
ux designer,,5,master
it support specialist,,5,degree
product manager,"sql, excel, data analysis, communication, management",8,master
cloud architect,"python, java, aws, azure, docker",8,degree
full stack developer,"java, sql, management",5,degree
machine learning engineer,"python, machine learning, deep learning, aws, tensorflow, pytorch",0,master
software engineer,"python, sql, machine learning, data analysis, aws, azure, docker",5,degree
database administrator,"python, sql, excel, statistics, management, aws, azure",8,degree
data engineer,"python, java, machine learning, aws, azure",5,degree
e-commerce specialist,"excel, data analysis, communication, management, project management",5,degree
data scientist,"python, sql, machine learning, deep learning, statistics, tensorflow",5,master
robotics engineer,"python, machine learning, communication",0,master
ai researcher,"python, java, deep learning, tensorflow, pytorch",0,degree
data analyst,"excel, management",5,degree
game developer,"management, project management",5,degree
cybersecurity analyst,management,0,degree
cloud engineer,"python, aws, azure",0,degree
content writer,,5,degree
cybersecurity analyst,"python, management",5,degree
data architect,"sql, management, project management, aws, azure",8,master
system administrator,"python, management, aws, azure",8,degree
software engineer,"python, java, machine learning, aws, docker",5,master
ai researcher,"python, machine learning, deep learning, tensorflow, pytorch",0,unknown
ux designer,"java, communication, management, project management",5,master
full stack developer,"java, sql, management",0,degree
ai researcher,"python, java, deep learning, tensorflow, pytorch",0,unknown
machine learning engineer,"python, machine learning, deep learning, aws, azure, tensorflow, pytorch",0,master
cloud engineer,"python, management, aws, azure, docker",5,degree
data engineer,"python, java, sql, machine learning, aws, azure, docker",5,degree
data scientist,"python, sql, machine learning, deep learning, statistics, management, aws, azure, tensorflow, pytorch",0,unknown
product manager,management,8,degree
game developer,,5,unknown
human resources specialist,"excel, communication, management, aws",5,degree
ai researcher,"python, java, machine learning, deep learning, tensorflow, pytorch",0,unknown
product manager,"excel, data analysis, communication, management, project management",5,master
robotics engineer,"python, machine learning, deep learning",0,master
human resources specialist,"excel, communication, management, aws",5,degree
it support specialist,management,5,degree
e-commerce specialist,"excel, management",0,degree
software engineer,"python, java, sql, machine learning, aws, azure, docker, tensorflow",5,master
cloud engineer,"python, aws, azure",5,degree
qa engineer,"python, java, excel, management",5,degree
it support specialist,"excel, communication, management",5,degree
data engineer,"python, java, sql, machine learning, aws, azure, tensorflow, pytorch",5,degree
system administrator,"python, aws, azure",0,degree
human resources specialist,"excel, communication, management",8,degree
game developer,,5,unknown
cloud engineer,"python, management, aws, azure, docker",0,degree
cloud architect,"python, java, aws, azure, docker",8,degree
ar/vr developer,,5,degree
database administrator,"sql, management, aws, azure",5,degree
product manager,"data analysis, communication, management",8,master
product manager,"data analysis, communication, management",8,master
data scientist,"python, sql, machine learning, deep learning, data analysis, statistics, management, tensorflow",5,master
ux designer,,5,degree
digital marketing specialist,management,5,degree
devops engineer,"python, aws, docker",0,degree
devops engineer,"python, management, aws, azure, docker",0,degree
mobile app developer,"java, management",5,degree
data engineer,"python, java, sql, machine learning, aws, azure, tensorflow, pytorch",0,degree
cloud architect,"aws, azure, docker",8,degree
data analyst,"python, sql, excel, data analysis, management, aws",3,degree
ui engineer,java,5,degree
robotics engineer,python,5,master
digital marketing specialist,"excel, communication, management, project management",5,degree
human resources specialist,"excel, communication, management",8,degree
data architect,"python, java, sql, excel, machine learning, aws, azure",8,master
human resources specialist,"excel, communication, management",5,degree
ui engineer,java,5,degree
ai researcher,"python, sql, machine learning, deep learning, tensorflow, pytorch",0,unknown
data architect,"python, java, sql, machine learning, aws, azure",8,master
data engineer,"python, java, machine learning, management, aws, azure",5,degree
human resources specialist,"excel, communication, management",8,degree
ai researcher,"python, machine learning, deep learning, tensorflow, pytorch",0,foundation
e-commerce specialist,"excel, management",5,degree
blockchain developer,"python, java, management",0,master
digital marketing specialist,"excel, data analysis, communication",0,degree
software engineer,"python, java, machine learning, data analysis, docker",5,master
content writer,excel,5,degree
data engineer,"python, java, sql, machine learning, management, aws, azure, tensorflow, pytorch",0,degree
ai researcher,"python, java, machine learning, deep learning, tensorflow, pytorch",0,unknown
full stack developer,"java, sql, management, aws, azure, docker",5,degree
business analyst,"sql, excel, data analysis, communication, management, project management",8,degree
human resources specialist,management,5,degree
robotics engineer,"python, excel",5,master
robotics engineer,"python, machine learning",5,master
content writer,"excel, management",0,degree
ux designer,,5,degree
robotics engineer,python,0,master
software engineer,"python, java, sql, aws, azure, docker",5,master
database administrator,"sql, excel, communication, management",8,degree
human resources specialist,"data analysis, communication, management",5,degree
business analyst,"sql, excel, data analysis, communication, management, project management",5,degree
ar/vr developer,,0,unknown
machine learning engineer,"python, sql, excel, machine learning, communication, tensorflow",5,master
data engineer,"python, java, sql, machine learning, aws, azure",5,degree
e-commerce specialist,"excel, data analysis, management",5,degree
robotics engineer,"python, machine learning, aws, azure",5,master
product manager,"data analysis, communication, management",8,master
cybersecurity analyst,"python, java, sql",0,degree
system administrator,"python, aws, azure",0,degree
cybersecurity analyst,"python, management, aws, azure",5,degree
it support specialist,"python, excel, management",5,degree
cybersecurity analyst,"management, aws, azure",0,degree
product manager,"data analysis, communication, management, project management",5,degree
it support specialist,"excel, communication",5,degree
ux designer,,5,degree
product manager,"data analysis, communication, management, project management",8,degree
mobile app developer,"java, sql",0,degree
product manager,"sql, excel, data analysis, communication, management, project management",5,degree
content writer,"excel, management, project management",0,degree
cybersecurity analyst,"python, management, aws, azure",8,degree
machine learning engineer,"python, machine learning, deep learning, docker, pytorch",5,master
product manager,"excel, data analysis, communication, management, project management",8,degree
software engineer,"python, java, sql",5,degree
human resources specialist,management,5,degree
game developer,,5,unknown
ai researcher,"python, java, machine learning, deep learning, tensorflow, pytorch",3,unknown
data engineer,"python, sql, machine learning, aws, azure",5,degree
robotics engineer,"python, excel, machine learning",8,unknown
data scientist,"python, sql, excel, machine learning, deep learning, data analysis, statistics, communication, management, tensorflow",5,unknown
cloud architect,"python, java, management, aws, azure",8,degree
game developer,,5,unknown
cybersecurity analyst,"python, management",5,degree
ar/vr developer,"java, aws",0,unknown
system administrator,"excel, communication, aws",0,degree
blockchain developer,"java, management",3,degree
product manager,"data analysis, communication, management",8,master
human resources specialist,"data analysis, communication, management",5,degree
cloud architect,"python, excel, management, aws, azure, docker",8,degree
e-commerce specialist,"excel, data analysis, communication, management, project management",5,degree
data engineer,"python, sql, machine learning, deep learning, aws, azure, tensorflow, pytorch",5,master
e-commerce specialist,"excel, data analysis",5,degree
digital marketing specialist,"data analysis, management",5,degree
system administrator,"python, sql, excel, management",0,degree
product manager,"sql, data analysis, communication, management",5,master
ar/vr developer,,5,degree
software engineer,"python, java, sql, aws, azure",5,master
database administrator,"python, java, sql",8,degree
data analyst,"python, sql, data analysis, communication, management",5,degree
digital marketing specialist,management,8,unknown
ar/vr developer,,5,degree
ar/vr developer,java,3,degree
data scientist,"python, sql, machine learning, deep learning, statistics, management, tensorflow, pytorch",0,master
devops engineer,"python, aws, azure, docker",0,degree
full stack developer,"java, sql, management",5,master
software engineer,"python, java, machine learning, docker",5,master
cloud architect,"management, aws, azure, docker",8,degree
digital marketing specialist,"data analysis, management",5,degree
cloud architect,"python, management, aws, azure",0,master
data engineer,"python, java, sql, machine learning, aws, azure, tensorflow, pytorch",5,degree
human resources specialist,"excel, communication, management, aws",5,degree
blockchain developer,"python, java, management",5,master
cloud engineer,"python, aws, azure, docker",0,degree
qa engineer,"python, java, excel, communication",5,degree
product manager,"data analysis, communication, management, project management",8,master
full stack developer,"java, sql, management",5,master
digital marketing specialist,data analysis,5,degree
blockchain developer,"java, excel, management",0,degree
content writer,management,5,degree
mobile app developer,java,5,degree
data analyst,"python, sql, excel, data analysis, aws",5,degree
robotics engineer,"python, machine learning",5,master
full stack developer,"java, sql, management",5,degree
ai researcher,"python, java, excel, machine learning, deep learning, tensorflow, pytorch",0,unknown
cloud architect,"python, java, management, aws, azure, docker",8,degree
it support specialist,"excel, aws, azure",8,degree
data architect,"sql, machine learning, aws, azure, tensorflow",8,master
software engineer,"python, java, sql, machine learning, management, aws, azure, docker",5,master
ui engineer,java,5,degree
data analyst,"python, sql, excel, machine learning, data analysis, statistics, management, aws",3,degree
cloud engineer,"python, java, management, aws, azure",0,degree
mobile app developer,"java, management",5,master
blockchain developer,"python, java",5,degree
ai researcher,"python, machine learning, deep learning, pytorch",0,unknown
devops engineer,"python, aws, azure, docker",0,degree
data analyst,"python, sql, excel, machine learning, data analysis, management",5,master
system administrator,management,5,degree
cloud engineer,"python, java, aws, azure",0,degree
robotics engineer,python,5,master
database administrator,"sql, management, aws, azure",8,degree
qa engineer,"python, java",5,master
full stack developer,"java, sql, management",5,degree
mobile app developer,"java, management",5,degree
human resources specialist,management,5,degree
data engineer,"python, sql, machine learning, aws, azure, tensorflow",5,degree
robotics engineer,"python, machine learning, deep learning",5,master
human resources specialist,"management, aws",5,degree
database administrator,"sql, management",0,degree
e-commerce specialist,"excel, management",5,degree
data engineer,"python, java, sql, machine learning, management, aws",0,degree
game developer,java,5,degree
data scientist,"python, sql, machine learning, deep learning, statistics, management, aws, azure, tensorflow, pytorch",5,master
game developer,java,5,degree
database administrator,"python, java, sql, management, aws",8,degree
data engineer,"python, java, sql, aws",5,degree
human resources specialist,"excel, data analysis, communication, management, aws",8,degree
human resources specialist,"excel, data analysis, communication, management",8,degree
ui engineer,java,5,degree
it support specialist,"excel, communication",5,degree
ui engineer,"java, management",5,degree
it support specialist,communication,5,degree
devops engineer,"python, management, aws, azure, docker",0,degree
machine learning engineer,"python, machine learning, deep learning, aws, tensorflow",0,foundation
full stack developer,"java, sql, management",5,master
system administrator,excel,8,degree
it support specialist,"excel, communication",5,degree
e-commerce specialist,"excel, data analysis, communication, management",5,degree
full stack developer,"java, sql, management",5,degree
cybersecurity analyst,"excel, machine learning, management",0,master
product manager,"data analysis, communication, management, project management",8,degree
cloud engineer,"python, java, aws, azure",5,degree
data architect,"python, java, sql, excel, aws, azure",8,degree
machine learning engineer,"python, machine learning, pytorch",5,master
system administrator,"management, aws, azure",8,degree
qa engineer,"python, java, management",5,degree
data scientist,"python, sql, machine learning, deep learning, statistics, management, tensorflow",5,master
blockchain developer,"java, management",5,master
qa engineer,"python, java, management",5,master
e-commerce specialist,"excel, communication, management",5,degree
cloud architect,"python, management, aws, docker",8,degree
digital marketing specialist,"sql, excel, data analysis, communication, management, project management",5,degree
it support specialist,"communication, management",5,unknown
qa engineer,"python, java, communication",5,degree
it support specialist,"excel, communication",5,degree
ux designer,communication,5,master
cloud architect,"python, management, aws, azure, docker",8,degree
data architect,"python, java, sql, aws, azure",10,master
cybersecurity analyst,"python, management, aws, azure",0,degree
e-commerce specialist,"excel, data analysis, management",5,degree
data engineer,"python, java, sql, machine learning, aws",5,degree
ux designer,,3,master
devops engineer,"python, aws, azure, docker",5,degree
digital marketing specialist,data analysis,5,unknown
business analyst,"sql, excel, data analysis, communication",5,degree
data architect,"sql, aws, azure",8,degree
data analyst,"python, sql, excel, data analysis, management",5,master
data analyst,"python, sql, excel, data analysis, management",5,degree
cloud architect,"python, aws, azure",0,degree
database administrator,"python, sql, management",0,degree
e-commerce specialist,"excel, communication, management",5,degree
data engineer,"python, java, sql, machine learning, tensorflow, pytorch",8,master
cybersecurity analyst,"python, java, aws, azure",0,degree
ar/vr developer,"python, java",0,degree
system administrator,"python, excel, management",0,degree
blockchain developer,"python, java, management",5,master
digital marketing specialist,"data analysis, communication, management",5,degree
ar/vr developer,aws,0,unknown
system administrator,"aws, azure",8,degree
data architect,"python, java, sql, machine learning, azure",8,master
data analyst,"python, sql, machine learning, data analysis",5,master
e-commerce specialist,"excel, management",5,degree
ai researcher,"python, machine learning, deep learning, pytorch",0,unknown
ar/vr developer,"python, java",3,degree
cybersecurity analyst,"python, aws, azure",0,degree
ar/vr developer,,5,unknown
qa engineer,"python, java, management",5,degree
cybersecurity analyst,management,8,degree
e-commerce specialist,"data analysis, management",5,degree
devops engineer,"python, management, aws, azure, docker",0,degree
data engineer,"python, java, sql, machine learning, management, aws, azure, tensorflow, pytorch",5,degree
data architect,"sql, machine learning, aws, azure",8,master
robotics engineer,"python, excel, machine learning",5,master
ai researcher,"python, java, deep learning, tensorflow, pytorch",0,unknown
cloud engineer,"python, java, aws, azure, docker",5,degree
data analyst,"python, sql, excel, data analysis, aws, azure",0,unknown
ai researcher,"python, machine learning, tensorflow, pytorch",0,unknown
ui engineer,java,5,master
qa engineer,,5,master
machine learning engineer,"python, machine learning, deep learning, tensorflow, pytorch",5,master
ui engineer,java,5,degree
data engineer,"python, java, sql, machine learning, aws, azure, tensorflow",5,degree
data scientist,"python, sql, machine learning, deep learning, statistics, management, tensorflow",5,master
data analyst,"python, sql, excel, data analysis, statistics, management",3,degree
product manager,"excel, data analysis, communication, management",8,master
blockchain developer,"python, java, sql, management",5,degree
e-commerce specialist,management,5,degree
machine learning engineer,"python, machine learning, deep learning, aws, tensorflow, pytorch",5,master
software engineer,"python, java, sql, machine learning, management, aws, azure, tensorflow",5,master
data architect,"python, java, sql, aws, azure",8,master
ar/vr developer,,0,unknown
cybersecurity analyst,"python, java, management, aws, azure",5,degree
robotics engineer,"python, machine learning",0,master
system administrator,management,0,degree
content writer,"excel, data analysis, management",5,degree
data scientist,"python, sql, machine learning, statistics, management, aws, tensorflow",5,master
ux designer,"communication, management",5,degree
blockchain developer,"python, java, management",0,master
human resources specialist,"excel, data analysis, communication, management",8,degree
ai researcher,"python, deep learning, tensorflow, pytorch",0,foundation
mobile app developer,"java, sql",3,degree
cybersecurity analyst,"python, management",0,degree
data architect,"python, java, sql, excel, management, aws, azure",8,degree
mobile app developer,"java, sql, management",5,degree
devops engineer,"python, excel, aws, azure, docker",0,degree
robotics engineer,"python, machine learning",5,master
cybersecurity analyst,"management, aws, azure",5,degree
content writer,"excel, communication, management",5,degree
ai researcher,"python, machine learning, deep learning, tensorflow, pytorch",0,unknown
blockchain developer,"python, java, sql, management",0,doctorate
ar/vr developer,,5,unknown
product manager,"communication, management",5,master
data scientist,"python, sql, excel, machine learning, deep learning, statistics, communication, management, tensorflow, pytorch",5,master
database administrator,"sql, management",8,degree
blockchain developer,"python, java, sql, management",5,degree
blockchain developer,"python, java, management",5,master
blockchain developer,"python, java, management",5,degree
content writer,communication,5,degree
full stack developer,"java, sql, management",5,master
cloud engineer,"python, management, aws, azure, docker",0,degree
data architect,"python, java, sql, aws, azure",8,degree
blockchain developer,"python, java, management",0,degree
cloud architect,"python, java, management, aws, azure, docker",8,degree
system administrator,"python, aws, azure",10,master
data architect,"python, java, sql, machine learning, management, aws, azure",10,unknown
e-commerce specialist,"excel, management",5,degree
e-commerce specialist,"excel, data analysis, management",5,degree
ux designer,"management, project management",5,master
full stack developer,"java, sql, management, aws, azure, docker",0,master
content writer,management,5,degree
ui engineer,java,5,degree
machine learning engineer,"python, sql, machine learning, tensorflow",0,master
digital marketing specialist,"excel, data analysis",5,degree
e-commerce specialist,management,5,degree
cybersecurity analyst,"management, aws, azure",5,degree
cybersecurity analyst,"management, aws, azure",5,degree
data engineer,"python, java, sql, machine learning",5,master
database administrator,"python, sql, data analysis, management",8,degree
content writer,"communication, management",5,degree
cloud engineer,"python, management, aws, azure, docker",0,degree
machine learning engineer,"python, machine learning, deep learning, aws, azure, tensorflow, pytorch",5,master
product manager,"excel, communication, management, project management",8,master
cybersecurity analyst,"management, aws, azure",8,degree
data scientist,"python, sql, machine learning, deep learning, statistics, management, tensorflow, pytorch",0,master
system administrator,"python, excel",8,degree
data architect,"python, java, sql, machine learning, aws, azure",8,degree
ar/vr developer,,0,unknown
content writer,management,5,degree
e-commerce specialist,"data analysis, management",5,degree
robotics engineer,"python, machine learning",0,master
machine learning engineer,"python, machine learning, deep learning, aws, tensorflow",5,master
business analyst,"sql, excel, data analysis, communication",5,degree
cloud architect,"aws, azure, docker",8,degree
business analyst,"sql, data analysis, communication, management, project management",5,degree
content writer,"excel, management",5,degree
blockchain developer,"python, java, management",0,degree
full stack developer,"java, sql",5,degree
data engineer,"python, java, sql, machine learning, aws, azure, tensorflow, pytorch",5,master
devops engineer,"python, java, aws, azure, docker",5,degree
human resources specialist,"communication, management",5,degree
it support specialist,,5,degree
ar/vr developer,,5,unknown
mobile app developer,"java, sql, machine learning, management",0,master
devops engineer,"aws, azure, docker",0,degree
software engineer,"python, java, machine learning, docker",5,degree
data scientist,"python, sql, machine learning, deep learning, data analysis, statistics, management, tensorflow",5,master
system administrator,azure,8,degree
blockchain developer,"python, java, sql, management, aws",5,degree
human resources specialist,"communication, management",8,degree
devops engineer,"python, aws, azure, docker",0,degree
data scientist,"python, sql, machine learning, statistics, management, tensorflow",5,master
blockchain developer,"python, java, sql, management",5,master
digital marketing specialist,"data analysis, management",5,degree
e-commerce specialist,management,5,degree
cybersecurity analyst,"python, excel, communication",5,degree
mobile app developer,"java, aws",5,degree
human resources specialist,"excel, data analysis, management",8,degree
human resources specialist,"excel, data analysis, communication, management, aws",5,degree
data architect,"python, java, sql, machine learning, aws",8,master
data scientist,"python, sql, machine learning, data analysis, statistics, management",5,master
human resources specialist,"excel, data analysis, communication, management",5,degree
cloud architect,"management, aws, azure",8,degree
content writer,,5,degree
data architect,"python, java, sql, data analysis, management, aws, azure",8,master
ux designer,communication,5,master
data scientist,"python, sql, machine learning, deep learning, statistics, tensorflow, pytorch",0,master
data engineer,"python, sql, excel, machine learning, aws, azure",5,master
human resources specialist,"communication, management",8,degree
mobile app developer,"java, sql, aws, azure",5,degree
ar/vr developer,java,5,degree
qa engineer,"excel, communication",5,degree
blockchain developer,"python, java, management",3,master
full stack developer,"java, sql, management",5,degree
data engineer,"python, java, sql, machine learning, docker, tensorflow",5,degree
devops engineer,"python, aws, azure, docker",5,degree
product manager,"communication, management",5,master
business analyst,"sql, excel, data analysis, management",5,degree
blockchain developer,"python, java, management",5,degree
mobile app developer,"java, sql, management, project management",5,master
data analyst,"python, sql, excel, machine learning, data analysis, communication, management, tensorflow",3,degree
database administrator,"python, sql, management, aws, azure",8,doctorate
data analyst,"python, sql, excel, machine learning, data analysis, statistics, aws",3,degree
ui engineer,java,5,master
digital marketing specialist,data analysis,5,degree
ui engineer,"java, management",5,degree
qa engineer,"python, java, management",5,degree
cloud engineer,"python, management, aws, azure",0,degree
product manager,"data analysis, management, project management",8,master
robotics engineer,"python, machine learning",5,master
data scientist,"python, sql, excel, machine learning, deep learning, data analysis, statistics, management, tensorflow, pytorch",5,master
business analyst,"python, sql, excel, data analysis, communication",5,degree
software engineer,"python, java, sql, machine learning, docker",5,master
database administrator,"sql, aws, azure",5,degree
game developer,"management, project management",5,degree
data engineer,"python, sql, machine learning, aws, azure",0,degree
blockchain developer,"python, java, management",5,degree
full stack developer,"java, sql, management",5,master
game developer,,0,unknown
database administrator,"python, java, sql, management",8,degree
cloud architect,"python, java, management, aws, azure, docker",8,degree
devops engineer,"python, management, aws, azure, docker",8,degree
qa engineer,"python, java, communication",5,degree
cloud engineer,"python, java, excel, aws, azure, docker",5,degree
digital marketing specialist,"data analysis, management",5,degree
ar/vr developer,java,0,degree
content writer,management,5,degree
digital marketing specialist,"excel, data analysis, management",5,degree
game developer,,5,unknown
robotics engineer,"python, machine learning, data analysis",5,master
database administrator,"python, sql, management",8,degree
data scientist,"python, sql, machine learning, deep learning, statistics, management, tensorflow",5,master
game developer,python,0,unknown
database administrator,"python, sql, aws, azure",8,degree
ux designer,communication,5,master
mobile app developer,,0,degree
digital marketing specialist,"excel, data analysis",5,degree
software engineer,"python, java, docker",5,degree
machine learning engineer,"python, machine learning, deep learning, tensorflow",5,master
e-commerce specialist,excel,5,degree
cloud architect,"python, java, aws, azure, docker",8,degree
mobile app developer,java,0,degree
cybersecurity analyst,"excel, communication, management, aws, azure",8,degree
ar/vr developer,java,0,unknown
system administrator,"sql, excel, communication, management, aws, azure",0,degree
cloud engineer,"python, management, aws, azure, docker",0,degree
game developer,,5,unknown
data scientist,"python, sql, machine learning, deep learning, statistics, management, tensorflow, pytorch",5,master
database administrator,"python, sql",8,degree
data analyst,"sql, excel, data analysis, statistics, management",3,degree
game developer,,5,unknown
product manager,"excel, data analysis, communication, management, project management",8,master
data architect,"python, java, sql, aws, azure",10,master
data scientist,"python, sql, machine learning, deep learning, statistics, tensorflow, pytorch",5,master
ai researcher,"python, java, excel, machine learning, deep learning, tensorflow, pytorch",0,unknown
ui engineer,java,5,master
cybersecurity analyst,"python, java",0,degree
digital marketing specialist,"java, management",5,degree
devops engineer,"python, aws, azure, docker",5,degree
it support specialist,"excel, aws, azure",5,degree
database administrator,"python, java, sql, management",7,degree
content writer,"data analysis, management",5,degree
devops engineer,"python, aws, azure, docker",0,master
human resources specialist,"excel, communication, management",8,degree
data engineer,"python, java, machine learning, aws, azure, tensorflow, pytorch",0,master
full stack developer,"python, java, sql, management",5,master
product manager,"data analysis, communication, management, project management, aws",5,degree
mobile app developer,sql,5,degree
ui engineer,java,5,master
data architect,"python, java, sql, aws, azure",8,degree
cloud architect,"python, java, aws, azure, docker",8,degree
system administrator,"sql, excel, communication, azure",8,degree
data engineer,"python, machine learning, aws, azure",5,degree
ux designer,"data analysis, management",5,degree
cloud engineer,"python, sql, management, aws, azure",5,degree
ai researcher,"python, machine learning, deep learning, aws, azure, tensorflow, pytorch",0,unknown
devops engineer,"python, java, aws, azure, docker",0,degree
ux designer,java,8,unknown
business analyst,"excel, data analysis, communication, management",5,degree
human resources specialist,"communication, management",5,degree
mobile app developer,"java, sql",5,degree
ux designer,"excel, communication",5,degree
machine learning engineer,"python, machine learning, deep learning, tensorflow, pytorch",0,degree
robotics engineer,"python, machine learning",0,master
devops engineer,"python, management, aws, azure, docker",0,degree
data analyst,"sql, excel, data analysis, communication, management",3,degree
digital marketing specialist,"excel, management",5,degree
ux designer,"communication, management, project management",5,degree
e-commerce specialist,"data analysis, management",5,degree
system administrator,,0,degree
digital marketing specialist,"excel, data analysis, management",5,degree
software engineer,"python, java, machine learning, aws, azure, docker, tensorflow",5,master
data architect,"python, java, sql, excel, machine learning, communication, aws, azure",8,degree
digital marketing specialist,"excel, data analysis, management, project management",5,degree
data analyst,"python, sql, excel, data analysis, statistics, management",0,degree
game developer,python,5,master
ux designer,java,5,degree
system administrator,"python, management, aws, azure",0,degree
ux designer,,5,degree
ux designer,,5,degree
ar/vr developer,"python, java, communication",5,degree
ar/vr developer,"python, java",5,degree
data engineer,"python, java, sql, machine learning, aws, azure, tensorflow, pytorch",8,unknown
cybersecurity analyst,"python, excel, communication",0,degree
cybersecurity analyst,,5,degree
data analyst,"python, sql, excel, data analysis, statistics, management",3,degree
data engineer,"python, java, sql, machine learning, management, aws, azure, tensorflow",0,master
database administrator,"python, sql, aws, azure",8,degree
ux designer,"communication, management",5,degree
data scientist,"python, sql, machine learning, deep learning, data analysis, statistics, aws, tensorflow",5,master
full stack developer,"java, sql, management",5,degree
devops engineer,"python, java, aws, azure, docker",0,degree
mobile app developer,"java, excel",0,degree
digital marketing specialist,"excel, management, project management",5,degree
full stack developer,"java, sql, management",3,master
digital marketing specialist,"data analysis, management",5,degree
it support specialist,management,5,degree
data scientist,"python, sql, machine learning, data analysis, statistics, management, tensorflow, pytorch",5,master
business analyst,"sql, excel, data analysis, communication, management, project management",5,degree
machine learning engineer,"python, machine learning, deep learning, tensorflow, pytorch",3,master
data engineer,"python, java, sql, machine learning, aws, tensorflow, pytorch",5,degree
software engineer,"python, java, sql, machine learning, management, aws, docker",5,master
qa engineer,"python, java",5,degree
human resources specialist,"communication, management",5,degree
cybersecurity analyst,management,5,degree
ux designer,,5,degree
system administrator,"excel, communication",0,degree
product manager,"excel, data analysis, communication, management",8,degree
ar/vr developer,java,0,master
data engineer,"python, sql, machine learning, aws",5,degree
e-commerce specialist,"excel, data analysis, management",5,degree
ux designer,,5,degree
business analyst,"sql, data analysis, communication, management, project management",5,master
human resources specialist,"communication, management",5,degree
cloud engineer,"python, sql, excel, management, aws, azure",0,degree
ai researcher,"python, deep learning, tensorflow, pytorch",0,unknown
qa engineer,"python, java",5,degree
database administrator,"python, java, sql, management, aws, azure",8,degree
system administrator,"excel, communication, management",0,degree
ux designer,communication,8,degree
data architect,"python, java, sql, management",8,degree
cloud engineer,"python, aws, azure, docker",0,degree
cloud architect,"python, java, aws, azure, docker",0,degree
devops engineer,"python, aws, azure, docker",5,degree
data analyst,"python, sql, excel, data analysis, management",5,degree
machine learning engineer,"python, machine learning, data analysis, aws, azure, tensorflow, pytorch",3,master
blockchain developer,"python, java",0,degree
robotics engineer,"python, excel",5,master
software engineer,"python, java, sql, aws, azure, docker",5,master
ar/vr developer,java,5,degree
robotics engineer,python,0,master
full stack developer,"java, sql",5,degree
robotics engineer,"python, machine learning, tensorflow",5,master
digital marketing specialist,"excel, data analysis",5,degree
product manager,"communication, management",5,master
ar/vr developer,java,5,degree
data architect,"python, java, sql",8,degree
robotics engineer,"python, machine learning",5,master
digital marketing specialist,,5,degree
machine learning engineer,"python, machine learning, deep learning, docker, tensorflow, pytorch",0,master
qa engineer,"python, java",5,master
ui engineer,java,5,master
data engineer,"python, sql, excel, machine learning, aws, tensorflow, pytorch",5,master
cloud architect,"management, aws, azure, docker",8,degree
software engineer,"python, java",5,degree
content writer,management,5,degree
data analyst,"python, sql, excel, data analysis, statistics, management",5,degree
cloud architect,"python, java, aws, azure, docker",8,degree
qa engineer,"python, java, excel",5,master
software engineer,"python, machine learning, aws, azure, docker, tensorflow",5,master
cloud engineer,"python, java, aws, azure, docker",0,degree
database administrator,"python, sql, azure",0,degree
system administrator,"python, management, aws, azure",8,degree
